# Frequency, Fit
7.69231e-02, 2.16837e-04
1.53846e-01, 8.60358e-04
2.30769e-01, 1.91687e-03
3.07692e-01, 3.36864e-03
3.84615e-01, 5.19432e-03
4.61538e-01, 7.36938e-03
5.38462e-01, 9.86665e-03
6.15385e-01, 1.26569e-02
6.92308e-01, 1.57094e-02
7.69231e-01, 1.89927e-02
8.46154e-01, 2.24747e-02
9.23077e-01, 2.61239e-02
1.00000e+00, 2.99090e-02
1.07692e+00, 3.38001e-02
1.15385e+00, 3.77687e-02
1.23077e+00, 4.17879e-02
1.30769e+00, 4.58327e-02
1.38462e+00, 4.98800e-02
1.46154e+00, 5.39091e-02
1.53846e+00, 5.79012e-02
1.61538e+00, 6.18398e-02
1.69231e+00, 6.57104e-02
1.76923e+00, 6.95004e-02
1.84615e+00, 7.31992e-02
1.92308e+00, 7.67981e-02
2.00000e+00, 8.02897e-02
2.07692e+00, 8.36683e-02
2.15385e+00, 8.69297e-02
2.23077e+00, 9.00707e-02
2.30769e+00, 9.30892e-02
2.38462e+00, 9.59842e-02
2.46154e+00, 9.87553e-02
2.53846e+00, 1.01403e-01
2.61538e+00, 1.03929e-01
2.69231e+00, 1.06334e-01
2.76923e+00, 1.08620e-01
2.84615e+00, 1.10791e-01
2.92308e+00, 1.12848e-01
3.00000e+00, 1.14795e-01
3.07692e+00, 1.16634e-01
3.15385e+00, 1.18369e-01
3.23077e+00, 1.20004e-01
3.30769e+00, 1.21541e-01
3.38462e+00, 1.22985e-01
3.46154e+00, 1.24338e-01
3.53846e+00, 1.25604e-01
3.61538e+00, 1.26786e-01
3.69231e+00, 1.27889e-01
3.76923e+00, 1.28914e-01
3.84615e+00, 1.29865e-01
3.92308e+00, 1.30746e-01
4.00000e+00, 1.31559e-01
4.07692e+00, 1.32307e-01
4.15385e+00, 1.32993e-01
4.23077e+00, 1.33621e-01
4.30769e+00, 1.34191e-01
4.38462e+00, 1.34708e-01
4.46154e+00, 1.35172e-01
4.53846e+00, 1.35588e-01
4.61538e+00, 1.35957e-01
4.69231e+00, 1.36281e-01
4.76923e+00, 1.36562e-01
4.84615e+00, 1.36802e-01
4.92308e+00, 1.37003e-01
5.00000e+00, 1.37167e-01
5.07692e+00, 1.37296e-01
5.15385e+00, 1.37392e-01
5.23077e+00, 1.37455e-01
5.30769e+00, 1.37487e-01
5.38462e+00, 1.37491e-01
5.46154e+00, 1.37467e-01
5.53846e+00, 1.37416e-01
5.61538e+00, 1.37340e-01
5.69231e+00, 1.37240e-01
5.76923e+00, 1.37118e-01
5.84615e+00, 1.36973e-01
5.92308e+00, 1.36808e-01
6.00000e+00, 1.36623e-01
6.07692e+00, 1.36420e-01
6.15385e+00, 1.36199e-01
6.23077e+00, 1.35960e-01
6.30769e+00, 1.35706e-01
6.38462e+00, 1.35436e-01
6.46154e+00, 1.35152e-01
6.53846e+00, 1.34854e-01
6.61538e+00, 1.34543e-01
6.69231e+00, 1.34219e-01
6.76923e+00, 1.33883e-01
6.84615e+00, 1.33536e-01
6.92308e+00, 1.33179e-01
7.00000e+00, 1.32811e-01
7.07692e+00, 1.32433e-01
7.15385e+00, 1.32047e-01
7.23077e+00, 1.31651e-01
7.30769e+00, 1.31248e-01
7.38462e+00, 1.30836e-01
7.46154e+00, 1.30418e-01
7.53846e+00, 1.29992e-01
7.61538e+00, 1.29560e-01
7.69231e+00, 1.29121e-01
7.76923e+00, 1.28677e-01
7.84615e+00, 1.28227e-01
7.92308e+00, 1.27772e-01
8.00000e+00, 1.27312e-01
8.07692e+00, 1.26848e-01
8.15385e+00, 1.26379e-01
8.23077e+00, 1.25906e-01
8.30769e+00, 1.25429e-01
8.38462e+00, 1.24949e-01
8.46154e+00, 1.24465e-01
8.53846e+00, 1.23978e-01
8.61538e+00, 1.23488e-01
8.69231e+00, 1.22996e-01
8.76923e+00, 1.22501e-01
8.84615e+00, 1.22004e-01
8.92308e+00, 1.21504e-01
9.00000e+00, 1.21003e-01
9.07692e+00, 1.20500e-01
9.15385e+00, 1.19995e-01
9.23077e+00, 1.19489e-01
9.30769e+00, 1.18982e-01
9.38462e+00, 1.18473e-01
9.46154e+00, 1.17964e-01
9.53846e+00, 1.17453e-01
9.61538e+00, 1.16942e-01
9.69231e+00, 1.16430e-01
9.76923e+00, 1.15917e-01
9.84615e+00, 1.15404e-01
9.92308e+00, 1.14891e-01
1.00000e+01, 1.14377e-01
1.00769e+01, 1.13863e-01
1.01538e+01, 1.13349e-01
1.02308e+01, 1.12836e-01
1.03077e+01, 1.12322e-01
1.03846e+01, 1.11808e-01
1.04615e+01, 1.11295e-01
1.05385e+01, 1.10782e-01
1.06154e+01, 1.10270e-01
1.06923e+01, 1.09758e-01
1.07692e+01, 1.09247e-01
1.08462e+01, 1.08736e-01
1.09231e+01, 1.08226e-01
1.10000e+01, 1.07716e-01
1.10769e+01, 1.07208e-01
1.11538e+01, 1.06700e-01
1.12308e+01, 1.06193e-01
1.13077e+01, 1.05688e-01
1.13846e+01, 1.05183e-01
1.14615e+01, 1.04679e-01
1.15385e+01, 1.04176e-01
1.16154e+01, 1.03675e-01
1.16923e+01, 1.03174e-01
1.17692e+01, 1.02675e-01
1.18462e+01, 1.02177e-01
1.19231e+01, 1.01680e-01
1.20000e+01, 1.01185e-01
1.20769e+01, 1.00691e-01
1.21538e+01, 1.00198e-01
1.22308e+01, 9.97069e-02
1.23077e+01, 9.92170e-02
1.23846e+01, 9.87286e-02
1.24615e+01, 9.82416e-02
1.25385e+01, 9.77562e-02
1.26154e+01, 9.72723e-02
1.26923e+01, 9.67899e-02
1.27692e+01, 9.63091e-02
1.28462e+01, 9.58298e-02
1.29231e+01, 9.53522e-02
1.30000e+01, 9.48762e-02
1.30769e+01, 9.44018e-02
1.31538e+01, 9.39291e-02
1.32308e+01, 9.34580e-02
1.33077e+01, 9.29886e-02
1.33846e+01, 9.25209e-02
1.34615e+01, 9.20549e-02
1.35385e+01, 9.15907e-02
1.36154e+01, 9.11282e-02
1.36923e+01, 9.06674e-02
