# Frequency, Fit
7.69231e-02, 1.92871e-02
1.53846e-01, 1.77050e-02
2.30769e-01, 1.24027e-02
3.07692e-01, 9.46774e-03
3.84615e-01, 1.43298e-02
4.61538e-01, 1.51081e-02
5.38462e-01, 2.30495e-02
6.15385e-01, 1.35368e-02
6.92308e-01, 3.83045e-02
7.69231e-01, 2.14456e-02
8.46154e-01, 1.81655e-02
9.23077e-01, 1.69435e-02
1.00000e+00, 3.78926e-02
1.07692e+00, 7.07623e-03
1.15385e+00, 3.03667e-02
1.23077e+00, 8.25265e-03
1.30769e+00, 4.16830e-02
1.38462e+00, 6.25899e-02
1.46154e+00, 3.53913e-02
1.53846e+00, 1.49552e-02
1.61538e+00, 1.25845e-01
1.69231e+00, 6.01774e-02
1.76923e+00, 8.56863e-02
1.84615e+00, 1.33475e-02
1.92308e+00, 1.17709e-01
2.00000e+00, 1.13956e-01
2.07692e+00, 4.84303e-02
2.15385e+00, 6.88947e-02
2.23077e+00, 9.03869e-02
2.30769e+00, 1.14207e-01
2.38462e+00, 5.71836e-02
2.46154e+00, 1.29967e-01
2.53846e+00, 8.65528e-02
2.61538e+00, 2.20578e-02
2.69231e+00, 9.04683e-03
2.76923e+00, 2.93584e-02
2.84615e+00, 9.21540e-02
2.92308e+00, 6.73679e-02
3.00000e+00, 7.15447e-02
3.07692e+00, 6.09997e-02
3.15385e+00, 8.17769e-02
3.23077e+00, 2.04086e-02
3.30769e+00, 9.59921e-02
3.38462e+00, 7.20725e-02
3.46154e+00, 8.62021e-03
3.53846e+00, 6.06687e-02
3.61538e+00, 1.18697e-02
3.69231e+00, 1.58579e-01
3.76923e+00, 2.08575e-01
3.84615e+00, 1.35750e-02
3.92308e+00, 8.16022e-02
4.00000e+00, 1.73000e-01
4.07692e+00, 1.99765e-01
4.15385e+00, 1.65340e-01
4.23077e+00, 2.69313e-02
4.30769e+00, 4.32125e-02
4.38462e+00, 1.60066e-01
4.46154e+00, 1.37322e-01
4.53846e+00, 2.88922e-02
4.61538e+00, 5.43687e-02
4.69231e+00, 1.12470e-01
4.76923e+00, 1.05590e-01
4.84615e+00, 5.89220e-02
4.92308e+00, 8.11843e-02
5.00000e+00, 1.22248e-01
5.07692e+00, 1.11173e-01
5.15385e+00, 2.24964e-01
5.23077e+00, 1.94595e-01
5.30769e+00, 7.03259e-02
5.38462e+00, 1.35017e-01
5.46154e+00, 9.19969e-02
5.53846e+00, 1.09143e-01
5.61538e+00, 1.80229e-02
5.69231e+00, 7.13920e-02
5.76923e+00, 5.47074e-02
5.84615e+00, 7.74682e-02
5.92308e+00, 1.08144e-01
6.00000e+00, 1.50110e-01
6.07692e+00, 1.28249e-01
6.15385e+00, 1.71469e-01
6.23077e+00, 5.27428e-02
6.30769e+00, 1.56881e-02
6.38462e+00, 9.19616e-02
6.46154e+00, 1.19859e-01
6.53846e+00, 1.10679e-01
6.61538e+00, 9.25485e-02
6.69231e+00, 7.30710e-02
6.76923e+00, 8.18547e-02
6.84615e+00, 8.05241e-02
6.92308e+00, 1.27873e-01
7.00000e+00, 2.24981e-02
7.07692e+00, 7.06624e-02
7.15385e+00, 2.72166e-01
7.23077e+00, 2.27325e-01
7.30769e+00, 1.24183e-01
7.38462e+00, 3.04433e-02
7.46154e+00, 1.03603e-01
7.53846e+00, 4.79246e-02
7.61538e+00, 1.11123e-01
7.69231e+00, 2.04568e-01
7.76923e+00, 1.49683e-01
7.84615e+00, 1.28188e-01
7.92308e+00, 1.37350e-01
8.00000e+00, 1.46090e-01
8.07692e+00, 2.02970e-01
8.15385e+00, 1.57770e-01
8.23077e+00, 9.52205e-02
8.30769e+00, 7.44057e-02
8.38462e+00, 7.70798e-02
8.46154e+00, 3.72574e-02
8.53846e+00, 1.62781e-01
8.61538e+00, 1.17668e-01
8.69231e+00, 1.20396e-01
8.76923e+00, 1.33947e-01
8.84615e+00, 4.65112e-02
8.92308e+00, 1.81064e-01
9.00000e+00, 6.60452e-02
9.07692e+00, 1.01210e-01
9.15385e+00, 1.57175e-01
9.23077e+00, 1.47993e-01
9.30769e+00, 1.09006e-01
9.38462e+00, 2.14138e-01
9.46154e+00, 1.69763e-01
9.53846e+00, 9.78400e-02
9.61538e+00, 1.95445e-01
9.69231e+00, 1.16970e-01
9.76923e+00, 1.16970e-01
